Year,State,State.ANSI,temp3,temp4,temp23,temp43,temp44,temp45,Value,chem_name,chem_column,harm_level
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (AZADIRACHTIN = 121701),NA,NA,600,AZADIRACHTIN,121701,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (BIFENAZATE = 586),NA,NA,"16,700",BIFENAZATE,586,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (BIFENTHRIN = 128825),NA,NA,"3,400",BIFENTHRIN,128825,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (CHLORANTRANILIPROLE = 90100),NA,NA,"1,800",CHLORANTRANILIPROLE,90100,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (CYANTRANILIPROLE = 90098),NA,NA,"1,100",CYANTRANILIPROLE,90098,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (CYFLUMETOFEN = 138831),NA,NA,"5,500",CYFLUMETOFEN,138831,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (FENPROPATHRIN = 127901),NA,NA,"2,500",FENPROPATHRIN,127901,O
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (FENPYROXIMATE = 129131),NA,NA,200,FENPYROXIMATE,129131,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (FLONICAMID = 128016),NA,NA,"3,600",FLONICAMID,128016,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (FLUPYRADIFURONE = 122304),NA,NA,"3,600",FLUPYRADIFURONE,122304,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (HEXYTHIAZOX = 128849),NA,NA,"2,600",HEXYTHIAZOX,128849,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (IMIDACLOPRID = 129099),NA,NA,"2,500",IMIDACLOPRID,129099,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (MALATHION = 57701),NA,NA,"29,100",MALATHION,57701,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (METHOXYFENOZIDE = 121027),NA,NA,"2,600",METHOXYFENOZIDE,121027,U
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (NALED = 34401),NA,NA,"2,900",NALED,34401,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (NEEM OIL = 25006),NA,NA,"3,100",NEEM OIL,25006,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007),NA,"5,800",NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (NOVALURON = 124002),NA,NA,"3,300",NOVALURON,124002,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (PYRETHRINS = 69001),NA,NA,100,PYRETHRINS,69001,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (SPINETORAM = 110007),NA,NA,"2,200",SPINETORAM,110007,O
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (SPINOSAD = 110003),NA,NA,"1,800",SPINOSAD,110003,III
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (SPIROMESIFEN = 24875),NA,NA,700,SPIROMESIFEN,24875,
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (THIAMETHOXAM = 60109),NA,NA,600,THIAMETHOXAM,60109,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, INSECTICIDE, INSECTICIDE: (TOTAL),NA,NA,"116,700",NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (CHLOROPICRIN = 81501),NA,NA,"5,692,600",CHLOROPICRIN,81501,FM
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (DICHLOROPROPENE = 29001),NA,NA,"848,600",DICHLOROPROPENE,29001,FM
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (FLUTRIAFOL = 128940),NA,NA,"2,600",FLUTRIAFOL,128940,II
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (HYDROGEN PEROXIDE = 595),NA,NA,"9,400",HYDROGEN PEROXIDE,595,
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (METAM-POTASSIUM = 39002),NA,NA,"1,040,400",METAM-POTASSIUM,39002,
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (PEROXYACETIC ACID = 63201),NA,NA,"2,000",PEROXYACETIC ACID,63201,
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (REYNOUTRIA SACHALINE = 55809),NA,NA,"3,000",REYNOUTRIA SACHALINE,55809,
2021,CALIFORNIA,6, MEASURED IN LB,NA, OTHER, OTHER: (TOTAL),NA,NA,"7,602,900",NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (AZOXYSTROBIN = 128810),NA,NA,0.237,AZOXYSTROBIN,128810,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (BORAX DECAHYDRATE = 11102),NA,NA,0.017,BORAX DECAHYDRATE,11102,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (BOSCALID = 128008),NA,NA,0.372,BOSCALID,128008,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (CAPTAN = 81301),NA,NA,1.662,CAPTAN,81301,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (CYFLUFENAMID = 555550),NA,NA,0.023,CYFLUFENAMID,555550,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (CYPRODINIL = 288202),NA,NA,0.333,CYPRODINIL,288202,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (FENHEXAMID = 90209),NA,NA,0.627,FENHEXAMID,90209,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (FLUDIOXONIL = 71503),NA,NA,0.222,FLUDIOXONIL,71503,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (FLUOPYRAM = 80302),NA,NA,0.125,FLUOPYRAM,80302,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (FLUXAPYROXAD = 138009),NA,NA,0.174,FLUXAPYROXAD,138009,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (MEFENOXAM = 113502),NA,NA,0.483,MEFENOXAM,113502,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (MYCLOBUTANIL = 128857),NA,NA,0.105,MYCLOBUTANIL,128857,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (PENTHIOPYRAD = 90112),NA,NA,0.279,PENTHIOPYRAD,90112,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000),NA,NA,0.098,POLYOXIN D ZINC SALT,230000,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (POTASSIUM BICARBON. = 73508),NA,NA,2.152,POTASSIUM BICARBON.,73508,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (PROPICONAZOLE = 122101),NA,NA,0.113,PROPICONAZOLE,122101,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (PYRACLOSTROBIN = 99100),NA,NA,0.179,PYRACLOSTROBIN,99100,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (PYRIMETHANIL = 288201),NA,NA,0.711,PYRIMETHANIL,288201,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (QUINOLINE = 55459),NA,NA,0.098,QUINOLINE,55459,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (SULFUR = 77501),NA,NA,3.779,SULFUR,77501,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (TETRACONAZOLE = 120603),NA,NA,0.038,TETRACONAZOLE,120603,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (THIOPHANATE-METHYL = 102001),NA,NA,0.707,THIOPHANATE-METHYL,102001,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (THIRAM = 79801),NA,NA,2.144,THIRAM,79801,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (TRIFLOXYSTROBIN = 129112),NA,NA,0.124,TRIFLOXYSTROBIN,129112,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, FUNGICIDE, FUNGICIDE: (TRIFLUMIZOLE = 128879),NA,NA,0.251,TRIFLUMIZOLE,128879,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, HERBICIDE, HERBICIDE: (FLUMIOXAZIN = 129034),NA,NA,0.084,FLUMIOXAZIN,129034,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, HERBICIDE, HERBICIDE: (OXYFLUORFEN = 111601),NA,NA,0.301,OXYFLUORFEN,111601,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, HERBICIDE, HERBICIDE: (PENDIMETHALIN = 108501),NA,NA,1.327,PENDIMETHALIN,108501,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (ABAMECTIN = 122804),NA,NA,0.018,ABAMECTIN,122804,Ib
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (ACEQUINOCYL = 6329),NA,NA,0.305,ACEQUINOCYL,6329,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (ACETAMIPRID = 99050),NA,NA,0.138,ACETAMIPRID,99050,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (AZADIRACHTIN = 121701),NA,NA,0.029,AZADIRACHTIN,121701,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (BIFENAZATE = 586),NA,NA,0.505,BIFENAZATE,586,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (BIFENTHRIN = 128825),NA,NA,0.123,BIFENTHRIN,128825,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (CHLORANTRANILIPROLE = 90100),NA,NA,0.066,CHLORANTRANILIPROLE,90100,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (CYANTRANILIPROLE = 90098),NA,NA,0.109,CYANTRANILIPROLE,90098,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (CYFLUMETOFEN = 138831),NA,NA,0.178,CYFLUMETOFEN,138831,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (FENPROPATHRIN = 127901),NA,NA,0.233,FENPROPATHRIN,127901,O
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (FENPYROXIMATE = 129131),NA,NA,0.106,FENPYROXIMATE,129131,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (FLONICAMID = 128016),NA,NA,0.088,FLONICAMID,128016,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (FLUPYRADIFURONE = 122304),NA,NA,0.18,FLUPYRADIFURONE,122304,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (HEXYTHIAZOX = 128849),NA,NA,0.218,HEXYTHIAZOX,128849,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (IMIDACLOPRID = 129099),NA,NA,0.513,IMIDACLOPRID,129099,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (MALATHION = 57701),NA,NA,2.027,MALATHION,57701,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (METHOXYFENOZIDE = 121027),NA,NA,0.169,METHOXYFENOZIDE,121027,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (NALED = 34401),NA,NA,0.907,NALED,34401,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (NEEM OIL = 25006),NA,NA,0.779,NEEM OIL,25006,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (NEEM OIL, CLAR. HYD. = 25007),NA,2.222,NA,NA,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (NOVALURON = 124002),NA,NA,0.077,NOVALURON,124002,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (PYRETHRINS = 69001),NA,NA,0.041,PYRETHRINS,69001,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (SPINETORAM = 110007),NA,NA,0.076,SPINETORAM,110007,O
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (SPINOSAD = 110003),NA,NA,0.095,SPINOSAD,110003,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (SPIROMESIFEN = 24875),NA,NA,0.252,SPIROMESIFEN,24875,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, INSECTICIDE, INSECTICIDE: (THIAMETHOXAM = 60109),NA,NA,0.065,THIAMETHOXAM,60109,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (CHLOROPICRIN = 81501),NA,NA,196.615,CHLOROPICRIN,81501,FM
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (DICHLOROPROPENE = 29001),NA,NA,70.726,DICHLOROPROPENE,29001,FM
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (FLUTRIAFOL = 128940),NA,NA,0.113,FLUTRIAFOL,128940,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (HYDROGEN PEROXIDE = 595),NA,NA,2.372,HYDROGEN PEROXIDE,595,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (METAM-POTASSIUM = 39002),NA,NA,240.829,METAM-POTASSIUM,39002,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (PEROXYACETIC ACID = 63201),NA,NA,0.491,PEROXYACETIC ACID,63201,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / APPLICATION, AVG, OTHER, OTHER: (REYNOUTRIA SACHALINE = 55809),NA,NA,0.199,REYNOUTRIA SACHALINE,55809,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (AZOXYSTROBIN = 128810),NA,NA,0.26,AZOXYSTROBIN,128810,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (BORAX DECAHYDRATE = 11102),NA,NA,0.021,BORAX DECAHYDRATE,11102,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (BOSCALID = 128008),NA,NA,0.506,BOSCALID,128008,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (CAPTAN = 81301),NA,NA,14.256,CAPTAN,81301,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (CYFLUFENAMID = 555550),NA,NA,0.031,CYFLUFENAMID,555550,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (CYPRODINIL = 288202),NA,NA,0.591,CYPRODINIL,288202,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (FENHEXAMID = 90209),NA,NA,0.974,FENHEXAMID,90209,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (FLUDIOXONIL = 71503),NA,NA,0.394,FLUDIOXONIL,71503,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (FLUOPYRAM = 80302),NA,NA,0.254,FLUOPYRAM,80302,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (FLUXAPYROXAD = 138009),NA,NA,0.202,FLUXAPYROXAD,138009,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (MEFENOXAM = 113502),NA,NA,0.566,MEFENOXAM,113502,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (MYCLOBUTANIL = 128857),NA,NA,0.237,MYCLOBUTANIL,128857,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (PENTHIOPYRAD = 90112),NA,NA,0.35,PENTHIOPYRAD,90112,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000),NA,NA,0.183,POLYOXIN D ZINC SALT,230000,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (POTASSIUM BICARBON. = 73508),NA,NA,10.775,POTASSIUM BICARBON.,73508,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (PROPICONAZOLE = 122101),NA,NA,0.14,PROPICONAZOLE,122101,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (PYRACLOSTROBIN = 99100),NA,NA,0.23,PYRACLOSTROBIN,99100,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (PYRIMETHANIL = 288201),NA,NA,0.989,PYRIMETHANIL,288201,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (QUINOLINE = 55459),NA,NA,0.139,QUINOLINE,55459,
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (SULFUR = 77501),NA,NA,17.216,SULFUR,77501,III
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (TETRACONAZOLE = 120603),NA,NA,0.056,TETRACONAZOLE,120603,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (THIOPHANATE-METHYL = 102001),NA,NA,0.815,THIOPHANATE-METHYL,102001,U
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (THIRAM = 79801),NA,NA,5.029,THIRAM,79801,II
2021,CALIFORNIA,6, MEASURED IN LB / ACRE / YEAR, AVG, FUNGICIDE, FUNGICIDE: (TRIFLOXYSTROBIN = 129112),NA,NA,0.249,TRIFLOXYSTROBIN,129112,U
